SkillID,SkillName,EKT_GroupDamage,EKT_DeadlyDamage,EKT_BattleTimeLimit,EKT_Thump,EKT_SiegeDamage,EKT_SuperMagic,EKT_Debuff,EKT_PhysicalDefense
1001,连击,0,0,0,0,3,0,0,0
1011,狂暴,0,0,5,0,0,0,0,0
1021,反击,0,0,0,0,5,0,0,0
1031,破防,0,0,0,0,0,0,0,5
1041,乱射,0,0,0,0,5,0,0,0
1051,元气爆,0,0,0,0,0,0,0,0
1061,神圣突击,0,0,5,0,0,0,0,0
1081,魔能摄取,0,0,0,0,0,5,0,0
1091,自体再生,0,0,0,0,0,0,0,0
2001,落石,0,0,3,0,0,0,0,5
2011,冰冻,0,0,3,0,0,0,0,5
2021,火焰,0,0,3,0,0,0,0,5
2031,风刃,0,0,3,0,0,0,0,5
2041,十字落石,0,0,0,0,3,0,0,0
2051,十字冰冻,0,0,0,0,3,0,0,0
2061,十字火焰,0,0,0,0,3,0,0,0
2071,十字风刃,0,0,0,0,3,0,0,0
2081,全体落石,0,0,0,0,5,0,0,0
2091,全体冰冻,0,0,0,0,5,0,0,0
2101,全体火焰,0,0,0,0,5,0,0,0
2111,全体风刃,0,0,0,0,5,0,0,0
2121,吸血,0,0,0,0,0,0,0,0
2131,毒素,0,0,3,0,0,0,0,5
2141,催眠,0,5,0,0,0,0,0,0
2151,石化,0,5,0,0,0,0,0,0
2161,酒饮,0,0,0,0,0,5,0,0
2171,混乱,0,5,0,0,0,0,0,0
2191,十字毒素,0,0,0,0,3,0,0,0
2201,十字催眠,0,5,0,0,0,0,0,0
2211,十字石化,0,5,0,0,0,0,0,0
2221,十字酒饮,0,0,0,0,0,5,0,0
2231,十字混乱,0,5,0,0,0,0,0,0
2251,全体毒素,0,0,0,0,5,0,0,0
2261,全体催眠,0,5,0,0,0,0,0,0
2271,全体石化,0,5,0,0,0,0,0,0
2281,全体酒饮,0,0,0,0,0,5,0,0
2291,全体混乱,0,5,0,0,0,0,0,0
2361,回复术,3,0,0,3,0,0,0,0
2371,十字回复术,5,0,0,0,0,0,0,0
2381,全体回复术,5,0,0,0,0,0,0,0
2391,复活,0,3,0,0,0,0,0,0
2401,净化术,0,0,0,0,0,0,7,0
2411,恢复术,3,0,0,3,0,0,0,0
2421,十字恢复术,5,0,0,0,0,0,0,0
2431,全体恢复术,5,0,0,0,0,0,0,0
2441,物理吸收,0,0,0,0,0,0,0,0
2451,魔法吸收,0,0,0,0,0,0,0,0
2461,物理反弹,0,0,0,0,0,0,0,0
2471,魔法反弹,0,0,0,0,0,0,0,0
2481,物理无效,0,0,0,0,0,0,0,0
2491,魔法无效,0,0,0,0,0,0,0,0
2501,神圣护盾,0,0,0,5,0,0,0,0
2511,刺杀,2,2,2,2,2,2,2,2
2521,守护,0,0,0,5,0,0,0,0
2531,抗催眠,0,0,0,0,0,0,0,0
2541,抗石化,0,0,0,0,0,0,0,0
2551,抗酒饮,0,0,0,0,0,0,0,0
2561,抗混乱,0,0,0,0,0,0,0,0
2581,抗毒,0,0,0,0,0,0,0,0
2591,宠物之友,0,0,0,0,0,0,0,0
